tempo_s;id_caminhao;estado;e_defeito;e_automatico;i_posicao_x;i_posicao_y;i_angulo_x;i_temperatura;o_aceleracao;o_direcao;evento
5.5225e-05;3;Parado;0;1;60;0;0;40;0;0;
0.406088;3;Em movimento;0;1;60;0;0;40;0;0;
0.910143;3;Em movimento;0;1;60;0;0;40;0;0;
1.41401;3;Parado;0;1;60;0;0;40;0;0;
1.91783;3;Parado;0;1;60;0;0;40;0;0;
2.42328;3;Parado;0;1;60;0;0;40;0;0;
2.92729;3;Parado;0;1;60;0;0;40;0;0;
3.43575;3;Parado;0;1;60;0;0;40;0;0;
3.94014;3;Parado;0;1;60;0;0;40;0;0;
4.44584;3;Parado;0;1;60;0;0;40;0;0;
4.95076;3;Parado;0;1;60;0;0;40;0;0;
5.45363;3;Parado;0;1;60;0;0;40;0;0;
5.95672;3;Parado;0;1;60;0;0;40;0;0;
6.46239;3;Parado;0;1;60;0;0;40;0;0;
6.96716;3;Parado;0;1;60;0;0;40;0;0;
7.47601;3;Parado;0;1;60;0;0;40;0;0;
7.97994;3;Parado;0;1;60;0;0;40;0;0;
8.4838;3;Parado;0;1;60;0;0;40;0;0;
8.99088;3;Parado;0;1;60;0;0;40;0;0;
9.49713;3;Parado;0;1;61;0;0;40;0;0;
10.0038;3;Parado;0;1;61;0;0;40;0;0;
10.509;3;Parado;0;1;60;0;0;40;0;0;
11.0141;3;Parado;0;1;61;0;0;40;0;0;
11.5189;3;Parado;0;1;60;0;0;40;0;0;
12.0242;3;Parado;0;1;60;0;0;40;0;0;
12.5282;3;Parado;0;1;60;0;0;40;0;0;
13.0343;3;Parado;0;1;60;0;0;40;0;0;
13.5393;3;Parado;0;1;61;0;0;40;0;0;
14.0433;3;Parado;0;1;61;0;0;40;0;0;
14.5457;3;Parado;0;1;61;0;0;40;0;0;
15.048;3;Parado;0;1;60;0;0;40;0;0;
15.5499;3;Parado;0;1;61;0;0;40;0;0;
16.0554;3;Parado;0;1;60;0;0;40;0;0;
16.562;3;Parado;0;1;61;0;0;40;0;0;
17.0668;3;Parado;0;1;61;0;0;40;0;0;
17.572;3;Parado;0;1;61;0;0;40;0;0;
17.9757;3;Parado;0;1;61;0;0;40;0;0;
18.4788;3;Parado;0;1;61;0;0;40;0;0;
18.984;3;Parado;0;1;61;0;0;40;0;0;
19.4875;3;Parado;0;1;60;0;0;40;0;0;
19.9937;3;Parado;0;1;60;0;0;40;0;0;
20.4992;3;Parado;0;1;61;0;0;40;0;0;
21.0036;3;Parado;0;1;61;0;0;40;0;0;
21.5092;3;Parado;0;1;61;0;0;40;0;0;
22.0153;3;Parado;0;1;61;0;0;40;0;0;
22.5211;3;Parado;0;1;61;0;0;40;0;0;
23.0268;3;Parado;0;1;61;0;0;40;0;0;
23.534;3;Parado;0;1;61;0;0;40;0;0;
24.0384;3;Parado;0;1;61;0;0;40;0;0;
24.5403;3;Parado;0;1;61;0;0;40;0;0;
25.0429;3;Parado;0;1;61;0;0;40;0;0;
25.5454;3;Parado;0;1;61;0;0;40;0;0;
26.0515;3;Parado;0;1;61;0;0;40;0;0;
26.5584;3;Parado;0;1;61;0;0;40;0;0;
27.0636;3;Parado;0;1;61;0;0;40;0;0;
27.5652;3;Parado;0;1;61;0;0;40;0;0;
28.0712;3;Parado;0;1;61;0;0;40;0;0;
28.5741;3;Parado;0;1;61;0;0;40;0;0;
29.079;3;Parado;0;1;61;0;0;40;0;0;
29.5838;3;Parado;0;1;61;0;0;40;0;0;
30.0887;3;Parado;0;1;61;0;0;40;0;0;
30.5941;3;Parado;0;1;61;0;0;40;0;0;
31.0972;3;Parado;0;1;61;0;0;40;0;0;
31.6017;3;Parado;0;1;61;0;0;40;0;0;
32.1096;3;Parado;0;1;61;0;0;40;0;0;
32.6149;3;Parado;0;1;61;0;0;40;0;0;
33.1202;3;Parado;0;1;61;0;0;40;0;0;
33.6282;3;Parado;0;1;61;0;0;40;0;0;
34.1332;3;Parado;0;1;61;0;0;40;0;0;
34.5367;3;Parado;0;1;61;0;0;40;0;0;
35.0429;3;Parado;0;1;61;0;0;40;0;0;
35.5479;3;Parado;0;1;61;0;0;40;0;0;
36.0549;3;Parado;0;1;61;0;0;40;0;0;
36.5613;3;Parado;0;1;61;0;0;40;0;0;
37.067;3;Parado;0;1;61;0;0;40;0;0;
37.5723;3;Parado;0;1;61;0;0;40;0;0;
38.0751;3;Parado;0;1;61;0;0;40;0;0;
38.5801;3;Parado;0;1;61;0;0;40;0;0;
39.0847;3;Parado;0;1;61;0;0;40;0;0;
39.5886;3;Parado;0;1;61;0;0;40;0;0;
40.0946;3;Parado;0;1;61;0;0;40;0;0;
40.5997;3;Parado;0;1;61;0;0;40;0;0;
41.1045;3;Parado;0;1;61;0;0;40;0;0;
41.6083;3;Parado;0;1;61;0;0;40;0;0;
42.115;3;Parado;0;1;61;0;0;40;0;0;
42.6217;3;Parado;0;1;61;0;0;40;0;0;
43.1296;3;Parado;0;1;61;0;0;40;0;0;
43.6359;3;Parado;0;1;61;0;0;40;0;0;
44.1409;3;Parado;0;1;61;0;0;40;0;0;
44.649;3;Parado;0;1;61;0;0;40;0;0;
45.1548;3;Parado;0;1;61;0;0;40;0;0;
45.6614;3;Parado;0;1;61;0;0;40;0;0;
46.1674;3;Parado;0;1;61;0;0;40;0;0;
46.6719;3;Parado;0;1;61;0;0;40;0;0;
47.1749;3;Parado;0;1;61;0;0;40;0;0;
47.6815;3;Parado;0;1;61;0;0;40;0;0;
48.1882;3;Parado;0;1;61;0;0;40;0;0;
48.6947;3;Parado;0;1;61;0;0;40;0;0;
49.099;3;Parado;0;1;61;0;0;40;0;0;
49.6057;3;Parado;0;1;61;0;0;40;0;0;
