tempo_s;id_caminhao;estado;e_defeito;e_automatico;i_posicao_x;i_posicao_y;i_angulo_x;i_temperatura;o_aceleracao;o_direcao
0.000235497;1;Parado;0;1;0;0;0;40;0;0
0.942049;1;Em movimento;0;1;0;0;22;40;100;27
1.97397;1;Em movimento;0;1;2;1;27;42;100;26
2.92156;1;Em movimento;0;1;4;2;27;43;100;27
3.96413;1;Em movimento;0;1;8;4;26;46;100;26
4.9892;1;Em movimento;0;1;13;7;28;48;97;27
6.0032;1;Em movimento;0;1;19;9;27;50;92;27
7.02299;1;Em movimento;0;1;25;13;27;51;85;27
8.03783;1;Em movimento;0;1;31;16;27;52;77;27
9.06577;1;Em movimento;0;1;38;19;26;53;70;26
10.0859;1;Em movimento;0;1;45;22;26;54;63;26
11.0011;1;Parado;0;0;51;25;27;54;0;27
12.0296;1;Parado;0;0;56;28;26;53;0;26
13.0718;1;Parado;0;0;61;31;27;52;0;27
14.0262;1;Parado;0;0;65;33;26;50;0;26
15.0591;1;Parado;0;0;68;34;26;49;0;26
16.0881;1;Em movimento;0;1;71;35;26;48;34;27
17.2187;1;Em movimento;0;1;73;37;27;46;30;27
18.1395;1;Em movimento;0;1;75;38;28;46;28;27
19.1635;1;Em movimento;0;1;78;39;26;46;25;26
20.1711;1;Em movimento;0;1;80;40;26;46;22;25
21.2041;1;Em movimento;0;1;82;41;26;45;20;27
22.2403;1;Em movimento;0;1;85;42;26;45;18;27
23.302;1;Em movimento;0;1;87;44;26;45;15;27
24.3438;1;Em movimento;0;1;89;45;27;45;13;29
25.3751;1;Em movimento;0;1;91;45;26;45;10;27
26.317;1;Em movimento;0;1;92;46;26;44;9;27
27.3541;1;Em movimento;0;1;94;47;25;44;7;27
28.3897;1;Em movimento;0;1;95;48;28;44;5;22
29.439;1;Em movimento;0;1;97;49;26;43;4;27
30.3987;1;Em movimento;0;1;98;49;20;43;2;18
