tempo_s;id_caminhao;estado;e_defeito;e_automatico;i_posicao_x;i_posicao_y;i_angulo_x;i_temperatura;o_aceleracao;o_direcao;evento
0.00021996;2;Parado;0;1;0;0;-2;40;0;0;
0.901793;2;Parado;0;1;0;0;0;40;0;0;
1.90333;2;Parado;0;1;0;0;0;40;0;0;
2.90482;2;Parado;0;1;0;0;1;40;0;1;
3.90733;2;Parado;0;1;0;0;1;40;0;1;
4.90906;2;Parado;0;1;0;0;1;40;0;1;
5.9107;2;Parado;0;1;0;0;1;40;0;1;
6.91246;2;Parado;0;1;0;0;1;40;0;1;
7.9148;2;Parado;0;1;0;0;1;40;0;1;
8.917;2;Parado;0;1;0;0;1;40;0;1;
9.91848;2;Em movimento;0;1;0;0;92;40;30;114;
10.9207;2;Em movimento;0;1;0;1;114;41;30;114;
11.9224;2;Em movimento;0;1;-1;1;115;41;28;113;
12.9241;2;Em movimento;0;1;-1;2;114;42;27;114;
13.9262;2;Em movimento;0;1;-2;4;114;42;25;113;
14.9282;2;Em movimento;0;1;-2;5;113;43;24;114;
15.9298;2;Em movimento;0;1;-3;7;113;43;22;114;
16.9321;2;Em movimento;0;1;-4;9;114;43;20;113;
17.9345;2;Em movimento;0;1;-5;11;114;43;17;112;
18.9363;2;Em movimento;0;1;-6;12;115;44;17;115;
19.9379;2;Em movimento;0;1;-6;14;113;44;14;115;
20.9405;2;Em movimento;0;1;-7;16;114;44;12;113;
21.9428;2;Em movimento;0;1;-8;17;113;43;11;112;
22.9448;2;Em movimento;0;1;-8;19;114;43;9;117;
23.9467;2;Em movimento;0;1;-9;20;114;43;8;113;
24.9485;2;Em movimento;0;1;-9;21;116;43;7;117;
25.9501;2;Em movimento;0;1;-10;23;113;43;5;112;
26.952;2;Em movimento;0;1;-11;24;116;43;3;104;
